Id,Name,Enabled,NaturalPersonEnabled,LegalEntityEnabled,Code
1,Administrative and support services,1,1,1,ADMINISTRATIVE AND SUPPORT SERVICES
2,Adult entertainment,1,1,1,ADULT ENTERTAINMENT
3,Agriculture, forestry and fishing,1,1,1,AGRICULTURE, FORESTRY AND FISHING
4,Arts, entertainment and recreation,1,1,1,ARTS, ENTERTAINMENT AND RECREATION
5,Broadcasting and entertainment,1,1,1,BROADCASTING AND ENTERTAINMENT
6,Chemical engineering / manufacturing,1,1,1,CHEMICAL ENGINEERING / MANUFACTURING
7,Community and social activities,1,1,1,COMMUNITY AND SOCIAL ACTIVITIES
8,Construction and civil engineering,1,1,1,CONSTRUCTION AND CIVIL ENGINEERING
9,Consumer Goods: Wholesale and Retail,1,1,1,CONSUMER GOODS: WHOLESALE AND RETAIL
10,Education,1,1,1,EDUCATION
11,Electricity, solar, water, gas and waste services,1,1,1,ELECTRICITY, SOLAR, WATER, GAS AND WASTE SERVICES
12,Entrepreneurship,1,1,1,ENTREPRENEURSHIP
13,Estate, living and family trusts,1,1,1,ESTATE, LIVING AND FAMILY TRUSTS
14,Extractive services, mining and quarrying,1,1,1,EXTRACTIVE SERVICES, MINING AND QUARRYING
15,Financial and insurance,1,1,1,FINANCIAL AND INSURANCE
16,Gambling,1,1,1,GAMBLING
17,Government services, arms and State Owned Enterprises,1,1,1,GOVERNMENT SERVICES, ARMS AND STATE OWNED ENTERPRISES
18,HEALTHCARE AND MEDICAL,1,1,1,HEALTHCARE AND MEDICAL
19,Information technology, communication and telecoms,1,1,1,INFORMATION TECHNOLOGY, COMMUNICATION AND TELECOMS
20,Legal practitioner,1,1,1,LEGAL PRACTITIONER
21,Manufacturing,1,1,1,MANUFACTURING
22,Motor wholesale, retail trade and repair,1,1,1,MOTOR WHOLESALE, RETAIL TRADE AND REPAIR
23,Non profit organisation / regulated charity,1,1,1,NON PROFIT ORGANISATION / REGULATED CHARITY
24,Non-government organisation (NGO),1,1,1,NON-GOVERNMENT ORGANISATION (NGO)
25,Other,1,1,1,OTHER
26,PFMA Schedule 1,0,1,1,PFMA SCHEDULE 1
27,PFMA Schedule 2,0,1,1,PFMA SCHEDULE 2
28,PFMA Schedule 3A,0,1,1,PFMA SCHEDULE 3A
29,Professional sport,1,1,1,PROFESSIONAL SPORT
30,Real estate and property services,1,1,1,REAL ESTATE AND PROPERTY SERVICES
31,Shell banking,1,1,1,SHELL BANKING
32,Transport, storage, courier and freight,1,1,1,TRANSPORT, STORAGE, COURIER AND FREIGHT
33,Travel, tourism, accommodation and food services,1,1,1,TRAVEL, TOURISM, ACCOMMODATION AND FOOD SERVICES
34,Virtual currencies,1,1,1,VIRTUAL CURRENCIES
35,ACCOUNTING SERVICES,1,1,1,ACCOUNTING SERVICES
36,AEROSPACE & DEFENSE,1,1,1,AEROSPACE & DEFENSE
37,ARMS DEALERS,1,1,1,ARMS DEALERS
38,AUTOMOBILES & PARTS,1,1,1,AUTOMOBILES & PARTS
39,BANKS,1,1,1,BANKS
40,BEVERAGES,1,1,1,BEVERAGES
41,CANNABIS/CBD INDUSTRY,1,1,1,CANNABIS/CBD INDUSTRY
42,CASH AGGREGATORS,1,1,1,CASH AGGREGATORS
43,ELECTRONIC & ELECTRICAL EQUIPMENT,1,1,1,ELECTRONIC & ELECTRICAL EQUIPMENT
44,EQUITY INVESTMENT INSTRUMENTS,1,1,1,EQUITY INVESTMENT INSTRUMENTS
45,FOOD PRODUCERS,1,1,1,FOOD PRODUCERS
46,High Transaction Volume Import/Export Companies,1,1,1,HIGH TRANSACTION VOLUME IMPORT/EXPORT COMPANIES
47,HIGH VALUE GOODS DEALERS (INCLUDING MOTOR VEHICLE DEALERS, ART DEALERS, LUXURY GOODS/SERVICES Etc),1,1,1,HIGH VALUE GOODS DEALERS (INCLUDING MOTOR VEHICLE DEALERS, ART DEALERS, LUXURY GOODS/SERVICES Etc)
48,HOUSEHOLD GOODS & HOME CONSTRUCTION MATERIALS,1,1,1,HOUSEHOLD GOODS & HOME CONSTRUCTION MATERIALS
49,INDUSTRIAL ENGINEERING,1,1,1,INDUSTRIAL ENGINEERING
50,INDUSTRIAL METALS,1,1,1,INDUSTRIAL METALS
51,MEDIA,1,1,1,MEDIA
52,MONEY TRANSFER / SERVICE BUSINESSES,1,1,1,MONEY TRANSFER / SERVICE BUSINESSES
53,NON EQUITY INVESTMENT INSTRUMENTS,1,1,1,NON EQUITY INVESTMENT INSTRUMENTS
54,OIL & GAS PRODUCERS / SUPPLIERS,1,1,1,OIL & GAS PRODUCERS / SUPPLIERS
55,PAWN BROKERS/SECOND HAND DEALERS,1,1,1,PAWN BROKERS/SECOND HAND DEALERS
56,PHARMACEUTICALS & BIOTECHNOLOGY,1,1,1,PHARMACEUTICALS & BIOTECHNOLOGY
57,PRECIOUS METALS AND STONE DEALERS,1,1,1,PRECIOUS METALS AND STONE DEALERS
58,PUBLIC FINANCE MANAGEMENT ACT SCHEDULE,1,1,1,PUBLIC FINANCE MANAGEMENT ACT SCHEDULE
59,RETIRED,1,1,1,RETIRED
60,SCRAP METAL INDUSTRY,1,1,1,SCRAP METAL INDUSTRY
61,TOBACCO,1,1,1,TOBACCO
63,MINOR / SCHOLAR,1,1,1,MINOR / SCHOLAR
64,STATE OWNED ENTERPRISES,1,1,1,STATE OWNED ENTERPRISES
65,GOVERNMENT SERVICES,1,1,1,GOVERNMENT SERVICES
